央视频道,#genre#
CCTV15,http://175.173.198.22:9020/rtp/232.0.0.179:1234,1.23
CCTV15,http://221.219.79.161:4000/rtp/239.3.1.153:8136,1.01
CCTV15,http://114.246.96.72:4000/rtp/239.3.1.153:8136,1.01
CCTV15,http://123.121.2.167:4000/rtp/239.3.1.153:8136,1.0
CCTV15,http://111.196.129.152:20000/rtp/239.3.1.153:8136,0.83
CCTV15,http://114.252.238.87:8000/rtp/239.3.1.153:8136,0.79
CCTV15,http://123.118.229.243:9090/rtp/239.3.1.153:8136,0.78
CCTV15,http://123.118.159.0:8686/rtp/239.3.1.153:8136,0.73
CCTV15,http://60.2.190.206:4000/rtp/239.253.93.154:6322,0.69
CCTV15,http://115.171.216.209:4000/rtp/225.1.8.74:8136,0.65
CCTV15,http://175.173.198.22:9001/rtp/232.0.0.179:1234,0.63
